model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Edge,2019,33591,Semi-Auto,1537.0,Diesel,150.0,37.2,2.0
 Fiesta,2018,11200,Manual,11997.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,9790,Manual,13170.0,Petrol,150.0,65.7,1.0
 Kuga,2018,15000,Manual,17119.0,Diesel,150.0,64.2,1.5
 Focus,2018,12990,Manual,20425.0,Petrol,150.0,57.7,1.0
 Kuga,2018,15990,Manual,17105.0,Diesel,150.0,47.9,2.0
 Fiesta,2018,10790,Manual,11924.0,Petrol,150.0,65.7,1.0
 Fiesta,2018,14990,Manual,8895.0,Petrol,150.0,65.7,1.0
 Fiesta,2015,5790,Manual,47281.0,Petrol,125.0,54.3,1.2
 Focus,2017,10690,Manual,17113.0,Petrol,145.0,61.4,1.0
 Focus,2015,6690,Manual,76216.0,Petrol,20.0,61.4,1.0
 Focus,2015,7990,Manual,28971.0,Petrol,20.0,60.1,1.0
 S-MAX,2019,25990,Manual,12567.0,Diesel,145.0,54.3,2.0
 Fiesta,2018,8990,Manual,9616.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,9700,Manual,8335.0,Petrol,145.0,65.7,1.0
 Focus,2018,18765,Manual,17039.0,Petrol,145.0,41.5,2.0
 Focus,2018,18500,Manual,12514.0,Petrol,145.0,41.5,2.0
 B-MAX,2016,8200,Manual,23002.0,Diesel,0.0,74.4,1.5
 Fiesta,2018,10990,Manual,24674.0,Petrol,145.0,65.7,1.0
 C-MAX,2017,11490,Manual,4873.0,Petrol,30.0,55.4,1.0
 Focus,2018,12290,Manual,8067.0,Petrol,150.0,60.1,1.0
 Focus,2014,6790,Manual,51341.0,Petrol,30.0,56.5,1.0
 Focus,2018,12990,Manual,13470.0,Diesel,150.0,74.3,1.5
 Kuga,2019,18500,Manual,5787.0,Diesel,150.0,54.3,1.5
 EcoSport,2016,9790,Manual,16942.0,Petrol,125.0,52.3,1.0
 Fiesta,2016,7790,Manual,54503.0,Petrol,0.0,65.7,1.0
 Fiesta,2018,9790,Manual,9575.0,Petrol,150.0,64.2,1.1
 Fiesta,2014,6490,Manual,29607.0,Petrol,30.0,54.3,1.2
 Focus,2018,11800,Manual,12621.0,Petrol,145.0,60.1,1.0
 Fiesta,2018,9690,Manual,10567.0,Petrol,145.0,64.2,1.1
 Kuga,2017,16500,Semi-Auto,27653.0,Diesel,145.0,54.3,2.0
 Fiesta,2018,11500,Manual,5505.0,Petrol,145.0,65.7,1.0
 Focus,2018,18500,Manual,16970.0,Petrol,145.0,41.5,2.0
 Fiesta,2017,10901,Manual,12890.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,8490,Manual,24792.0,Petrol,150.0,64.2,1.1
 Focus,2018,17990,Manual,7519.0,Petrol,145.0,41.5,2.0
 Kuga,2018,20990,Semi-Auto,12365.0,Diesel,145.0,54.3,2.0
 Kuga,2016,15290,Manual,26543.0,Diesel,145.0,54.3,2.0
 Focus,2016,9990,Semi-Auto,32618.0,Diesel,0.0,74.3,1.5
 Focus,2019,17990,Manual,5298.0,Petrol,150.0,60.1,1.0
 Focus,2018,11990,Manual,23915.0,Petrol,150.0,60.1,1.0
 Fiesta,2017,9500,Manual,24013.0,Petrol,150.0,65.7,1.0
 Focus,2018,15790,Manual,46286.0,Petrol,150.0,41.5,2.0
 Focus,2018,11990,Manual,12956.0,Petrol,150.0,60.1,1.0
 Fiesta,2018,9990,Manual,10691.0,Petrol,150.0,64.2,1.1
 Focus,2018,13190,Manual,22786.0,Petrol,150.0,51.4,1.5
 Fiesta,2019,11690,Manual,13.0,Petrol,150.0,58.9,1.0
 Fiesta,2015,7790,Manual,35155.0,Petrol,0.0,65.7,1.0
 Fiesta,2018,9700,Manual,8769.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,12000,Manual,7760.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,11290,Manual,13585.0,Petrol,145.0,65.7,1.0
 EcoSport,2018,13790,Manual,4979.0,Petrol,145.0,54.3,1.0
 Fiesta,2018,11690,Manual,12127.0,Petrol,145.0,65.7,1.0
 Fiesta,2019,18591,Semi-Auto,2341.0,Petrol,145.0,48.7,1.0
 Focus,2014,8500,Manual,23800.0,Petrol,30.0,56.5,1.0
 Focus,2018,12990,Manual,11785.0,Petrol,145.0,60.1,1.0
 EcoSport,2018,15500,Manual,7310.0,Petrol,145.0,54.3,1.0
 Fiesta,2018,11690,Manual,8156.0,Petrol,145.0,65.7,1.0
 Focus,2018,17500,Manual,2908.0,Petrol,145.0,60.1,1.0
 S-MAX,2019,30000,Semi-Auto,623.0,Diesel,145.0,43.5,2.0
 S-MAX,2019,28000,Manual,7400.0,Diesel,145.0,54.3,2.0
 Focus,2019,17200,Manual,5989.0,Petrol,145.0,60.1,1.0
 Fiesta,2019,15500,Manual,7504.0,Petrol,145.0,61.4,1.0
 Fiesta,2018,11500,Manual,31520.0,Petrol,145.0,65.7,1.0
 Focus,2019,17500,Automatic,11211.0,Petrol,145.0,48.7,1.0
 Fiesta,2017,12000,Manual,18605.0,Petrol,145.0,65.7,1.0
 Kuga,2019,19500,Manual,4596.0,Diesel,145.0,54.3,1.5
 Fiesta,2018,10500,Manual,25367.0,Petrol,145.0,58.9,1.0
 Focus,2018,12000,Manual,14917.0,Petrol,145.0,60.1,1.0
 Fiesta,2018,10000,Manual,13691.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,11500,Manual,2729.0,Petrol,145.0,58.9,1.0
 Fiesta,2016,8400,Manual,28000.0,Petrol,125.0,54.3,1.2
 Fiesta,2018,10800,Manual,15356.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,10500,Manual,8363.0,Petrol,145.0,58.9,1.0
 Fiesta,2018,10000,Manual,15682.0,Petrol,145.0,65.7,1.0
 Focus,2018,13700,Manual,12686.0,Petrol,145.0,57.7,1.0
 Mondeo,2014,7000,Manual,73883.0,Diesel,30.0,62.8,2.0
 Kuga,2016,10500,Manual,40016.0,Diesel,125.0,60.1,2.0
 Fiesta,2018,11500,Manual,13820.0,Petrol,145.0,65.7,1.0
 Focus,2016,17000,Manual,17456.0,Diesel,20.0,67.3,2.0
 Fiesta,2018,10500,Manual,6042.0,Petrol,145.0,64.2,1.1
 Galaxy,2018,17900,Manual,37411.0,Diesel,145.0,56.5,2.0
 Kuga,2017,15500,Manual,13240.0,Diesel,150.0,60.1,2.0
 B-MAX,2013,7200,Manual,36914.0,Petrol,30.0,57.7,1.0
 Fiesta,2015,7500,Manual,23658.0,Petrol,125.0,54.3,1.2
 Fiesta,2018,10499,Manual,11143.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,11695,Manual,12874.0,Petrol,150.0,65.7,1.0
 Mondeo,2013,6500,Manual,61074.0,Diesel,150.0,53.3,2.0
 Focus,2017,10500,Manual,21718.0,Petrol,150.0,60.1,1.0
 Fiesta,2015,6700,Manual,52353.0,Petrol,30.0,54.3,1.2
 Edge,2018,24000,Semi-Auto,9412.0,Diesel,150.0,47.9,2.0
 Kuga,2017,16500,Manual,30190.0,Diesel,150.0,60.1,2.0
 Kuga,2017,18200,Manual,15210.0,Diesel,150.0,54.3,2.0
 Focus,2017,10200,Manual,29805.0,Petrol,150.0,60.1,1.0
 Fiesta,2018,10800,Manual,19153.0,Petrol,145.0,65.7,1.0
 Fiesta,2017,10200,Manual,23403.0,Petrol,145.0,65.7,1.0
 EcoSport,2018,15500,Manual,9500.0,Petrol,145.0,51.4,1.0
 Fiesta,2018,8990,Manual,15141.0,Petrol,150.0,64.2,1.1
 Kuga,2019,18500,Manual,8913.0,Petrol,145.0,35.3,1.5
 Fiesta,2017,9500,Manual,18928.0,Petrol,145.0,64.2,1.1
 Focus,2018,15000,Manual,15918.0,Petrol,145.0,60.1,1.0
 Kuga,2018,18200,Manual,21930.0,Petrol,150.0,39.2,1.5
 EcoSport,2017,10000,Manual,27064.0,Petrol,160.0,44.8,1.5
 Focus,2018,19000,Manual,12130.0,Petrol,145.0,41.5,2.0
 Focus,2018,12000,Manual,20045.0,Diesel,145.0,74.3,1.5
 C-MAX,2016,11500,Semi-Auto,15565.0,Diesel,20.0,64.2,1.5
 Fiesta,2017,9200,Manual,45500.0,Diesel,150.0,85.6,1.5
 Fiesta,2015,6800,Manual,19784.0,Petrol,125.0,54.3,1.2
 Fiesta,2017,11175,Manual,6745.0,Petrol,145.0,65.7,1.0
 B-MAX,2014,6990,Semi-Auto,23521.0,Petrol,160.0,44.1,1.6
 Kuga,2018,19272,Semi-Auto,18472.0,Diesel,150.0,54.3,2.0
 Focus,2017,11795,Manual,30564.0,Petrol,145.0,58.9,1.0
 Focus,2014,12750,Manual,33202.0,Petrol,235.0,39.2,2.0
 Edge,2016,20490,Semi-Auto,20331.0,Diesel,200.0,47.9,2.0
 Fiesta,2016,9795,Manual,15000.0,Petrol,0.0,65.7,1.0
 Fiesta,2017,10795,Manual,13000.0,Petrol,145.0,65.7,1.0
 C-MAX,2015,10795,Manual,10500.0,Petrol,30.0,55.4,1.0
 EcoSport,2017,10295,Manual,8000.0,Diesel,150.0,64.2,1.5
 Fiesta,2017,10699,Semi-Auto,9896.0,Petrol,145.0,57.7,1.0
 EcoSport,2017,9377,Manual,26775.0,Petrol,125.0,52.3,1.0
 Fiesta,2018,13100,Manual,8419.0,Petrol,145.0,62.8,1.0
 Fiesta,2018,10800,Manual,5110.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,12700,Manual,14380.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,11600,Manual,12836.0,Petrol,145.0,65.7,1.0
 Kuga,2017,16300,Manual,15883.0,Diesel,145.0,60.1,2.0
 EcoSport,2017,10975,Manual,23149.0,Petrol,145.0,53.3,1.0
 Galaxy,2018,18000,Manual,37085.0,Diesel,145.0,56.5,2.0
 Fiesta,2018,10600,Manual,33080.0,Petrol,145.0,65.7,1.0
 Fiesta,2017,12000,Semi-Auto,14916.0,Petrol,0.0,57.7,1.0
 EcoSport,2018,16000,Manual,1520.0,Diesel,145.0,67.3,1.5
 Fiesta,2019,18000,Manual,1793.0,Petrol,145.0,55.4,1.0
 Focus,2018,15299,Automatic,12315.0,Petrol,145.0,50.4,1.0
 Fiesta,2019,16000,Manual,3557.0,Petrol,145.0,55.4,1.0
 Focus,2019,16499,Manual,13728.0,Petrol,145.0,49.6,1.0
 Focus,2019,19000,Automatic,12859.0,Petrol,145.0,41.5,1.0
 Focus,2019,15299,Manual,9742.0,Petrol,145.0,60.1,1.0
 Focus,2019,16000,Manual,10263.0,Petrol,145.0,58.9,1.0
 Focus,2018,16000,Manual,12702.0,Petrol,145.0,58.9,1.0
 Focus,2017,11995,Manual,15000.0,Petrol,145.0,60.1,1.0
 Focus,2018,17000,Manual,11910.0,Petrol,145.0,58.9,1.0
 Kuga,2019,25000,Semi-Auto,4688.0,Diesel,145.0,42.2,2.0
 Galaxy,2018,24499,Automatic,8339.0,Diesel,145.0,52.3,2.0
 Fiesta,2019,14000,Manual,3889.0,Petrol,145.0,56.5,1.0
 Fiesta,2019,15000,Manual,9988.0,Petrol,145.0,58.9,1.0
 Mondeo,2018,19000,Automatic,15647.0,Diesel,145.0,57.7,2.0
 Mondeo,2015,11499,Manual,31302.0,Diesel,30.0,64.2,2.0
 Focus,2018,16000,Manual,9699.0,Petrol,145.0,58.9,1.0
 Galaxy,2018,23499,Manual,4753.0,Diesel,145.0,56.5,2.0
 Kuga,2017,19000,Manual,17501.0,Diesel,145.0,60.1,2.0
 Edge,2018,24999,Semi-Auto,27215.0,Diesel,150.0,47.9,2.0
 Kuga,2018,19499,Manual,24297.0,Diesel,145.0,54.3,2.0
 Focus,2019,17000,Manual,9960.0,Petrol,145.0,60.1,1.0
 Focus,2018,17000,Manual,4853.0,Petrol,145.0,60.1,1.0
 EcoSport,2018,13495,Manual,11852.0,Petrol,145.0,53.3,1.0
 Edge,2016,18700,Manual,21476.0,Diesel,205.0,47.9,2.0
 Focus,2016,8750,Manual,39556.0,Petrol,20.0,60.1,1.0
 Kuga,2018,18400,Manual,9929.0,Diesel,150.0,54.3,1.5
 Fiesta,2018,10308,Manual,31997.0,Petrol,145.0,65.7,1.0
 Focus,2019,16470,Manual,9083.0,Petrol,145.0,60.1,1.0
 Focus,2019,18299,Manual,731.0,Petrol,145.0,60.1,1.0
 Ka+,2019,10499,Manual,4893.0,Petrol,145.0,47.9,1.2
 Ka+,2019,11000,Manual,4485.0,Petrol,145.0,47.9,1.2
 Ka+,2019,11000,Manual,1645.0,Petrol,145.0,47.9,1.2
 Ka+,2019,11299,Manual,3439.0,Petrol,145.0,47.9,1.2
 Ka+,2017,8000,Manual,10084.0,Petrol,145.0,57.7,1.2
 EcoSport,2019,19000,Manual,4325.0,Petrol,145.0,52.3,1.0
 Focus,2017,11000,Manual,10981.0,Petrol,20.0,61.4,1.0
 Fiesta,2017,12499,Manual,4277.0,Petrol,145.0,62.8,1.0
 Focus,2017,12499,Manual,10276.0,Petrol,145.0,60.1,1.0
 Fiesta,2019,14000,Manual,1384.0,Petrol,145.0,48.7,1.1
 Fiesta,2019,14000,Manual,1559.0,Petrol,145.0,48.7,1.1
 Fiesta,2019,14000,Manual,886.0,Petrol,145.0,48.7,1.1
 Focus,2018,20000,Manual,13856.0,Petrol,145.0,41.5,2.0
 EcoSport,2018,15000,Manual,10549.0,Petrol,145.0,54.3,1.0
 Ka+,2018,8000,Manual,4750.0,Petrol,145.0,57.7,1.2
 Ka+,2018,7799,Manual,8169.0,Petrol,145.0,57.7,1.2
 Ka+,2018,8000,Manual,4977.0,Petrol,145.0,57.7,1.2
 Puma,2020,23000,Manual,363.0,Petrol,145.0,50.4,1.0
 Fiesta,2017,9799,Manual,23337.0,Petrol,0.0,65.7,1.0
 Focus,2018,16999,Manual,7530.0,Diesel,145.0,80.7,1.5
 Fiesta,2019,14000,Manual,4336.0,Petrol,145.0,58.9,1.0
 EcoSport,2019,17000,Manual,1743.0,Diesel,145.0,64.2,1.5
 Focus,2019,15000,Manual,5842.0,Diesel,145.0,80.7,1.5
 Kuga,2017,17000,Manual,15555.0,Diesel,145.0,54.3,2.0
 Fiesta,2017,10000,Manual,28969.0,Petrol,145.0,65.7,1.0
 Fiesta,2014,7499,Manual,17551.0,Petrol,0.0,65.7,1.0
 Ka+,2018,10699,Manual,2618.0,Petrol,145.0,43.5,1.2
 Fiesta,2017,9200,Manual,7391.0,Petrol,0.0,65.7,1.0
 Fiesta,2019,15000,Manual,1035.0,Petrol,145.0,58.9,1.0
 Fiesta,2018,10700,Manual,3475.0,Petrol,145.0,64.2,1.1
 Focus,2019,16000,Manual,8325.0,Petrol,145.0,58.9,1.0
 Ka+,2018,10000,Manual,5846.0,Petrol,145.0,47.9,1.2
 Fiesta,2019,14000,Manual,1459.0,Petrol,145.0,48.7,1.1
 Fiesta,2015,8070,Manual,13324.0,Petrol,30.0,54.3,1.2
 Fiesta,2016,9710,Manual,21314.0,Petrol,20.0,62.8,1.0
 Focus,2013,4995,Manual,74015.0,Diesel,20.0,67.3,1.6
 KA,2015,5420,Manual,12809.0,Petrol,30.0,57.7,1.2
 Focus,2018,12030,Manual,18770.0,Petrol,145.0,57.7,1.0
 Mondeo,2015,11414,Manual,20486.0,Diesel,20.0,67.3,2.0
 Fiesta,2015,5800,Manual,71200.0,Diesel,0.0,78.5,1.5
 Fiesta,2016,7795,Manual,46891.0,Petrol,0.0,65.7,1.0
 Edge,2016,15995,Manual,73079.0,Diesel,160.0,48.7,2.0
 EcoSport,2019,14995,Manual,5806.0,Petrol,145.0,53.3,1.0
 Focus,2018,12600,Manual,23164.0,Diesel,145.0,74.3,1.5
 Fiesta,2018,12750,Manual,7026.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,12600,Manual,9674.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,10500,Manual,15675.0,Petrol,145.0,65.7,1.0
 Mondeo,2019,19500,Manual,23.0,Diesel,145.0,65.7,2.0
 Mondeo,2019,19500,Manual,33.0,Diesel,145.0,65.7,2.0
 Fiesta,2015,7495,Manual,31945.0,Petrol,0.0,65.7,1.0
 Fiesta,2016,9950,Manual,21105.0,Diesel,0.0,78.5,1.5
 Fiesta,2016,8250,Manual,24220.0,Petrol,0.0,65.7,1.0
 Fiesta,2019,14995,Manual,51.0,Petrol,145.0,58.9,1.0
 Fiesta,2019,13495,Manual,6000.0,Diesel,145.0,58.9,1.5
 Kuga,2019,23995,Automatic,400.0,Diesel,145.0,47.9,2.0
 EcoSport,2019,16995,Manual,6000.0,Petrol,145.0,53.3,1.0
 B-MAX,2015,7245,Manual,46510.0,Petrol,30.0,55.4,1.0
 Galaxy,2016,18995,Manual,11850.0,Diesel,125.0,56.5,2.0
 Ka+,2019,9695,Manual,10040.0,Petrol,145.0,43.5,1.2
 Fiesta,2018,13495,Manual,11395.0,Petrol,145.0,65.7,1.0
 Fiesta,2017,8995,Manual,34682.0,Petrol,145.0,65.7,1.0
 Fiesta,2017,8795,Manual,25456.0,Petrol,145.0,65.7,1.0
 Focus,2017,11000,Manual,27530.0,Petrol,20.0,60.1,1.0
 Fiesta,2017,8799,Manual,18378.0,Petrol,125.0,54.3,1.2
 Fiesta,2018,15699,Manual,10000.0,Petrol,145.0,62.8,1.0
 Fiesta,2018,11000,Manual,7485.0,Petrol,145.0,65.7,1.0
 Fiesta,2016,10000,Manual,17431.0,Petrol,20.0,62.8,1.0
 Ka+,2018,8995,Manual,10.0,Petrol,145.0,47.9,1.2
 Ka+,2018,9495,Manual,6275.0,Petrol,145.0,47.9,1.2
 Fiesta,2018,13995,Manual,7380.0,Petrol,145.0,55.4,1.0
 Ka+,2017,7495,Manual,29815.0,Petrol,30.0,57.7,1.2
 Fiesta,2018,16495,Manual,6225.0,Petrol,145.0,40.3,1.5
 EcoSport,2018,13995,Manual,9720.0,Diesel,145.0,58.9,1.5
 Edge,2019,23995,Automatic,3000.0,Diesel,145.0,40.4,2.0
 Fiesta,2019,13495,Manual,700.0,Petrol,145.0,58.9,1.0
 KA,2016,5495,Manual,22280.0,Petrol,30.0,57.7,1.2
 Fiesta,2018,11500,Manual,11053.0,Petrol,145.0,65.7,1.0
 Focus,2019,16200,Manual,12263.0,Petrol,145.0,49.6,1.0
 Focus,2019,16073,Manual,12820.0,Petrol,145.0,60.1,1.0
 Focus,2019,15800,Manual,9379.0,Petrol,145.0,58.9,1.0
 Focus,2019,14995,Manual,6330.0,Petrol,145.0,60.1,1.0
 Fiesta,2017,11995,Automatic,5720.0,Petrol,145.0,54.3,1.0
 EcoSport,2018,15995,Manual,4835.0,Diesel,145.0,58.9,1.5
 Focus,2019,25950,Manual,25.0,Petrol,145.0,34.5,2.3
 C-MAX,2019,16995,Manual,20.0,Diesel,145.0,60.1,1.5
 Fiesta,2018,11018,Manual,34938.0,Petrol,145.0,65.7,1.0
 Focus,2017,11900,Manual,11574.0,Diesel,0.0,74.3,1.5
 Focus,2018,12000,Manual,17225.0,Petrol,145.0,61.4,1.0
 Fiesta,2017,9000,Manual,18734.0,Petrol,145.0,54.3,1.2
 Fiesta,2018,10300,Manual,9300.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,10600,Manual,21760.0,Petrol,145.0,65.7,1.0
 Fiesta,2016,9980,Manual,29122.0,Petrol,150.0,47.9,1.6
 Fiesta,2017,10380,Manual,12847.0,Petrol,0.0,65.7,1.0
 Focus,2017,9980,Semi-Auto,29927.0,Diesel,145.0,74.3,1.5
 Fiesta,2016,9533,Semi-Auto,17457.0,Petrol,0.0,57.7,1.0
 Ka+,2018,8290,Manual,11931.0,Petrol,145.0,57.7,1.2
 EcoSport,2017,10699,Manual,7573.0,Petrol,145.0,52.3,1.0
 Fiesta,2015,6999,Manual,60063.0,Petrol,20.0,62.8,1.0
 Fiesta,2017,9499,Manual,24526.0,Petrol,145.0,65.7,1.0
 Fiesta,2017,10290,Manual,4070.0,Petrol,145.0,64.2,1.1
 Fiesta,2014,7495,Manual,29840.0,Diesel,0.0,76.4,1.5
 Kuga,2017,17995,Manual,12995.0,Diesel,145.0,60.1,2.0
 Fiesta,2019,14995,Manual,12.0,Petrol,145.0,55.4,1.0
 EcoSport,2019,16495,Manual,6145.0,Petrol,145.0,52.3,1.0
 Mondeo,2019,18995,Automatic,5000.0,Diesel,145.0,58.9,2.0
 EcoSport,2018,14995,Manual,9900.0,Diesel,145.0,58.9,1.5
 Fiesta,2018,12995,Manual,5735.0,Petrol,145.0,58.9,1.0
 Focus,2019,14995,Manual,12075.0,Petrol,145.0,60.1,1.0
 Fiesta,2018,11900,Manual,29951.0,Petrol,145.0,65.7,1.0
 EcoSport,2019,18100,Manual,4402.0,Diesel,145.0,64.2,1.5
 Fiesta,2017,9500,Manual,22234.0,Petrol,145.0,65.7,1.0
 Fiesta,2019,14600,Manual,11337.0,Petrol,145.0,58.9,1.0
 Fiesta,2018,10500,Manual,32160.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,10700,Manual,6533.0,Petrol,150.0,55.4,1.1
 Focus,2017,12700,Semi-Auto,16088.0,Petrol,150.0,51.4,1.0
 Fiesta,2018,16200,Manual,11654.0,Petrol,150.0,40.3,1.5
 Fiesta,2018,13100,Semi-Auto,3356.0,Petrol,150.0,54.3,1.0
 Focus,2013,6700,Manual,47769.0,Diesel,20.0,67.3,1.6
 Kuga,2018,16200,Manual,15408.0,Diesel,150.0,60.1,2.0
 Grand C-MAX,2016,10100,Manual,15777.0,Diesel,30.0,64.2,1.5
 Focus,2014,6795,Manual,69547.0,Diesel,20.0,67.3,1.6
 Fiesta,2017,10699,Manual,41197.0,Petrol,150.0,47.9,1.6
 Ka+,2018,7995,Manual,7800.0,Petrol,150.0,57.7,1.2
 Fiesta,2019,18995,Manual,50.0,Petrol,150.0,40.3,1.5
 Ka+,2017,6695,Manual,24000.0,Petrol,30.0,57.7,1.2
 C-MAX,2013,7402,Manual,24937.0,Diesel,30.0,62.8,1.6
 Ka+,2017,6999,Manual,21792.0,Petrol,30.0,57.7,1.2
 Focus,2018,11995,Semi-Auto,16172.0,Petrol,145.0,51.4,1.0
 Fiesta,2017,6991,Manual,15969.0,Petrol,125.0,54.3,1.2
 Ka+,2017,7695,Manual,6368.0,Petrol,145.0,57.7,1.2
 Fiesta,2016,7980,Manual,42045.0,Petrol,20.0,62.8,1.0
 Ka+,2019,9995,Manual,4150.0,Petrol,150.0,47.9,1.2
 Tourneo Custom,2019,25995,Automatic,5000.0,Diesel,150.0,32.8,2.0
 Fiesta,2017,9277,Manual,28294.0,Petrol,145.0,65.7,1.0
 Focus,2018,18481,Manual,21217.0,Petrol,145.0,41.5,2.0
 Focus,2015,7890,Manual,47325.0,Diesel,0.0,74.3,1.5
 Focus,2018,13820,Manual,14835.0,Petrol,145.0,57.7,1.0
 Focus,2018,16277,Manual,6507.0,Petrol,145.0,60.1,1.0
 Focus,2019,16100,Manual,7539.0,Petrol,150.0,60.1,1.0
 Focus,2017,11600,Manual,26476.0,Petrol,150.0,60.1,1.0
 Fiesta,2018,9600,Manual,11038.0,Petrol,150.0,64.2,1.1
 Focus,2018,12800,Manual,6945.0,Petrol,150.0,60.1,1.0
 Mondeo,2018,14900,Manual,15692.0,Diesel,150.0,65.7,2.0
 EcoSport,2018,14500,Manual,3753.0,Petrol,150.0,54.3,1.0
 Fiesta,2017,9700,Manual,20885.0,Petrol,150.0,54.3,1.2
 Grand C-MAX,2017,11500,Manual,29881.0,Petrol,30.0,54.3,1.0
 Fiesta,2018,10500,Manual,13336.0,Petrol,150.0,65.7,1.0
 Fiesta,2016,9300,Manual,16595.0,Petrol,0.0,65.7,1.0
 Fiesta,2018,11400,Manual,10213.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,10900,Manual,5541.0,Petrol,145.0,64.2,1.1
 EcoSport,2019,16900,Manual,5044.0,Petrol,145.0,51.4,1.0
 Fiesta,2014,8900,Manual,28600.0,Petrol,0.0,65.7,1.0
 Focus,2018,15300,Manual,6898.0,Petrol,150.0,58.9,1.0
 Fiesta,2017,9200,Manual,28330.0,Petrol,150.0,65.7,1.0
 EcoSport,2018,14600,Manual,3397.0,Petrol,150.0,54.3,1.0
 Focus,2019,17300,Manual,11740.0,Petrol,145.0,60.1,1.0
 Fiesta,2018,9700,Manual,10815.0,Petrol,145.0,64.2,1.1
 Kuga,2017,14900,Manual,21419.0,Diesel,145.0,60.1,2.0
 Kuga,2018,17100,Manual,13843.0,Petrol,145.0,45.6,1.5
 Fiesta,2018,10700,Manual,9575.0,Petrol,145.0,64.2,1.1
 Focus,2018,16500,Manual,14023.0,Petrol,145.0,60.1,1.0
 Fiesta,2013,7000,Manual,45024.0,Petrol,0.0,65.7,1.0
 B-MAX,2017,10500,Manual,22649.0,Petrol,150.0,55.4,1.0
 Fiesta,2018,11000,Manual,5763.0,Petrol,145.0,55.4,1.1
 Fiesta,2018,11300,Manual,33291.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,10000,Manual,34553.0,Petrol,145.0,65.7,1.0
 Mondeo,2020,22000,Manual,10.0,Diesel,145.0,65.7,2.0
 Edge,2016,17500,Manual,48585.0,Diesel,160.0,48.7,2.0
 Puma,2020,22500,Manual,484.0,Petrol,145.0,50.4,1.0
 Fiesta,2017,11200,Manual,19168.0,Petrol,145.0,65.7,1.0
 EcoSport,2018,15500,Manual,5192.0,Petrol,145.0,52.3,1.0
 Fiesta,2017,12500,Manual,26294.0,Petrol,145.0,47.9,1.6
 Fiesta,2013,7000,Manual,35987.0,Petrol,30.0,54.3,1.2
 Fiesta,2017,11750,Manual,7564.0,Petrol,150.0,65.7,1.0
 B-MAX,2013,6000,Manual,58381.0,Petrol,150.0,47.1,1.4
 Fiesta,2017,9500,Manual,18342.0,Petrol,150.0,65.7,1.0
 Fiesta,2018,12500,Manual,13000.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,10500,Manual,21637.0,Petrol,150.0,65.7,1.0
 Focus,2017,10250,Manual,19825.0,Petrol,150.0,61.4,1.0
 Fiesta,2018,11500,Manual,20556.0,Petrol,150.0,65.7,1.0
 Mondeo,2020,21000,Manual,25.0,Diesel,145.0,65.7,2.0
 Fiesta,2020,17800,Manual,10.0,Petrol,145.0,58.9,1.0
 Fiesta,2017,9800,Manual,11365.0,Petrol,125.0,54.3,1.2
 Mondeo,2019,20500,Manual,27.0,Diesel,145.0,65.7,2.0
 Mondeo,2019,20500,Manual,24.0,Diesel,145.0,65.7,2.0
 Mondeo,2019,20500,Manual,15.0,Diesel,145.0,65.7,2.0
 Puma,2019,20800,Manual,207.0,Petrol,145.0,50.4,1.0
 Fiesta,2018,9600,Manual,15400.0,Petrol,145.0,64.2,1.1
 Focus,2019,16200,Manual,7400.0,Petrol,145.0,58.9,1.0
 Fiesta,2018,12500,Manual,14881.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,11200,Manual,17971.0,Petrol,145.0,58.9,1.0
 Fiesta,2018,11800,Manual,7500.0,Petrol,145.0,58.9,1.0
 Fiesta,2017,10500,Manual,8965.0,Petrol,145.0,64.2,1.1
 Fiesta,2016,9200,Manual,17833.0,Petrol,125.0,54.3,1.2
 Fiesta,2017,9999,Manual,21687.0,Petrol,145.0,65.7,1.0
 Ka+,2017,6977,Manual,33440.0,Petrol,145.0,57.7,1.2
 Kuga,2015,11978,Manual,64494.0,Diesel,145.0,54.3,2.0
 Focus,2015,7250,Manual,66144.0,Diesel,0.0,74.3,1.5
 Fiesta,2014,7000,Semi-Auto,33000.0,Petrol,145.0,47.9,1.6
 Focus,2019,16200,Manual,8166.0,Petrol,145.0,58.9,1.0
 Fiesta,2018,9700,Manual,6302.0,Petrol,145.0,64.2,1.1
 Mondeo,2020,22000,Manual,47.0,Diesel,145.0,65.7,2.0
